# ZHAires simulations output (NRT 24/10/2017)
# log10 Energy [eV]   Zenith [deg]   Azimuth [deg]   Xcore [m]   Ycore [m]   Zcore [m]   New_conservative   Nns_conservative   Ntot_conservative   New_aggressive   Nns_aggressive   Ntot_aggressive   max(Vp2p_ew)   max(Vp2p_ns)   max(Vp2p_tot) 
18     85.0     135.0     210.77     195.32     0.0     84     84     96     105     105     105     811.3828     811.3833     1622.7661 
18     65.0     180.0     309.22     51.69     0.0     4     2     4     5     3     5     3577.476     473.9005     3282.02948 
18     75.0     180.0     179.31     98.55     0.0     17     0     17     27     4     27     2691.88     117.58973     2652.225285 
18     85.0     180.0     19.75     325.55     0.0     84     0     84     105     0     105     1597.7521     4.58013     1598.509408 
18     65.0     225.0     114.68     50.12     0.0     3     3     3     4     4     3     1220.9244     909.9699     375.795 
18     75.0     225.0     78.36     183.11     0.0     16     15     9     20     19     12     1486.9814     1343.4202     305.4782 
18     85.0     225.0     343.3     330.47     0.0     84     84     0     84     84     0     683.5116     683.8397     23.6508 
18     65.0     270.0     387.73     32.79     0.0     1     2     4     4     5     6     482.4497     743.8688     1204.9312 
18     75.0     270.0     479.47     481.12     0.0     8     8     11     12     12     16     227.4315     408.68     573.7712 
18     85.0     270.0     200.9     250.5     0.0     0     0     0     0     11     12     18.189746     61.59746     59.71718 
18     65.0     315.0     12.97     332.83     0.0     4     4     7     8     8     9     2867.173     2784.39     5651.563 
18     75.0     315.0     277.66     208.85     0.0     18     18     23     25     25     30     1588.8477     1579.7413     3168.589 
18     85.0     315.0     81.6     49.71     0.0     84     84     84     84     84     124     809.7889     809.7857     1619.5746 
